ncaa_id,team,player_id,name,year,hometown,high_school,previous_school,height,position,jersey,url,season
1012,Chadron St.,8405,Kyra Tanabe,Redshirt Freshman,"Hawai'i Kai, Hawaii",'Iolani School,NA,"5'4""",Guard,0,https://www.chadroneagles.com/sports/womens-basketball/roster/kyra-tanabe/8405,2022-23
1012,Chadron St.,8400,Olyvia Pacheco,Senior,"Rawlins, Wyo.",Rawlins HS,Mile City Community College,"5'6""",Guard,1,https://www.chadroneagles.com/sports/womens-basketball/roster/olyvia-pacheco/8400,2022-23
1012,Chadron St.,8519,Molly Cockburn,Sophomore,"Christchurch, New Zealand",Kaiapoi,Miles CC,"5'8""",Guard,2,https://www.chadroneagles.com/sports/womens-basketball/roster/molly-cockburn/8519,2022-23
1012,Chadron St.,8398,Liberty Line,Redshirt Freshman,"Parker, Colo.",Ponderosa HS,NA,"5'7""",Guard,3,https://www.chadroneagles.com/sports/womens-basketball/roster/liberty-line/8398,2022-23
1012,Chadron St.,8402,Gianna Principato,Redshirt Freshman,"Castle Rock, Colo.",Highlands Ranch HS,NA,"5'9""",Guard,4,https://www.chadroneagles.com/sports/womens-basketball/roster/gianna-principato/8402,2022-23
1012,Chadron St.,8395,Kadyn Comer,Sophomore,"Hill City, S.D.",Hill City HS,NA,"5'5""",Guard,5,https://www.chadroneagles.com/sports/womens-basketball/roster/kadyn-comer/8395,2022-23
1012,Chadron St.,8406,Olivia  Waufle,Sophomore,"Thornton, Colo.",Horizon HS,NA,"5'8""",Guard,10,https://www.chadroneagles.com/sports/womens-basketball/roster/olivia-waufle/8406,2022-23
1012,Chadron St.,8391,Emily Achter,Senior,"Melbourne, Au.",SEDA College,Casper College,"5'7""",Guard,11,https://www.chadroneagles.com/sports/womens-basketball/roster/emily-achter/8391,2022-23
1012,Chadron St.,8407,Samiyah Worrell,Senior,"Fountain, Colo.",Fountain-Fort Carson HS,Northwest College,"5'6""",Guard,12,https://www.chadroneagles.com/sports/womens-basketball/roster/samiyah-worrell/8407,2022-23
1012,Chadron St.,8399,Brooke McCully,Redshirt Freshman,"Mullen, Neb.",Mullen HS,NA,"6'0""",Forward,13,https://www.chadroneagles.com/sports/womens-basketball/roster/brooke-mccully/8399,2022-23
1012,Chadron St.,8520,Megan Counts,Freshman,"Green River, Wyo.",Green River HS,NA,"6'0""",Forward,14,https://www.chadroneagles.com/sports/womens-basketball/roster/megan-counts/8520,2022-23
1012,Chadron St.,8394,Livia Castellanos,Sophomore,"Gillette, Wyo.",Campbell County HS,NA,"5'10""",Guard,15,https://www.chadroneagles.com/sports/womens-basketball/roster/livia-castellanos/8394,2022-23
1012,Chadron St.,8401,Ashayla Powers,Sophomore,"Longmont, Colo.",Skyline HS,NA,"5'10""",Forward,20,https://www.chadroneagles.com/sports/womens-basketball/roster/ashayla-powers/8401,2022-23
1012,Chadron St.,8403,Elle Ravenscroft,Sophomore,"Nenzel, Neb.",Cody-Kilgore HS,NA,"5'9""",Forward,21,https://www.chadroneagles.com/sports/womens-basketball/roster/elle-ravenscroft/8403,2022-23
1012,Chadron St.,8523,Allison Olsen,Freshman,"Douglas, Wyo.",Douglas HS,NA,"5'8""",Guard,22,https://www.chadroneagles.com/sports/womens-basketball/roster/allison-olsen/8523,2022-23
1012,Chadron St.,8397,Claudia Dolliger,Redshirt Freshman,"Bourbonnais, Ill.",Bishop McNamara Catholic HS,NA,"6'0""",Forward,23,https://www.chadroneagles.com/sports/womens-basketball/roster/claudia-dolliger/8397,2022-23
1012,Chadron St.,8392,Riley Aiono,Junior,"Bountiful, Utah",Woods Cross HS,Northwest College,"6'1""",Forward,32,https://www.chadroneagles.com/sports/womens-basketball/roster/riley-aiono/8392,2022-23
1012,Chadron St.,8393,Awoti Akoi,Sophomore,"Sioux Falls, S.D.",Bishop O'Gorman HS,Wayne State College,"6'3""",Forward,40,https://www.chadroneagles.com/sports/womens-basketball/roster/awoti-akoi/8393,2022-23
1012,Chadron St.,8521,Bria Delimont,Freshman,"Ainsworth, Neb.",Ainsworth HS,NA,"5'6""",Guard,NA,https://www.chadroneagles.com/sports/womens-basketball/roster/bria-delimont/8521,2022-23
1012,Chadron St.,8408,Kailey Klein,Redshirt Freshman,"Harrison, Neb.",Sioux County HS,NA,"5'7""",Guard,NA,https://www.chadroneagles.com/sports/womens-basketball/roster/kailey-klein/8408,2022-23
1012,Chadron St.,8522,Camren Morris,Freshman,"Idalia, Colo.",Idalia HS,NA,"5'6""",Guard,NA,https://www.chadroneagles.com/sports/womens-basketball/roster/camren-morris/8522,2022-23
1012,Chadron St.,8404,Riley Shaw,Redshirt Freshman,"Lusk, Wyo.",Niobrara County HS,NA,"5'3""",Guard,NA,https://www.chadroneagles.com/sports/womens-basketball/roster/riley-shaw/8404,2022-23
